year,strategy,benchmark
2010,0.09518961356210865928,-0.13017150954827343285
2011,0.42832538407071243555,0.32159157091691312189
2012,0.10818124202600767466,-0.02268247665934092208
2013,0.1812798273305495567,-0.16887787215622537909
2014,0.70839268524628076516,0.38740076797541636365
2015,0.88122589850957314738,0.64001335338709699915
2016,0.13259848237255504694,-0.02793293217136991104
2017,0.317751641264679142,0.05130102129781610173
2018,0.57753457263935059501,0.33788451961392492093
2019,0.26160839986403760285,-0.07127898137760274745
